"key_Rapid,reset,cTime,head_reset,eye_reset,eye_voltage_norm,a_raw,b_raw,c_raw,x_raw,y_raw,z_raw,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_f_confirmed,max_nod_p,max_nod_p_confirmed,delta_pitch,pitch_deg,delta_roll,roll_deg,yaw_deg,head_buzz_f,head_buzz_p,eye_buzz,lt_state,st_state,dltst,cf,freeze,v3v3,head_buzz,g_quiet,o_quiet,g_is_quiet_sure,o_is_quiet_sure,g_is_quiet,o_is_quiet,roll_rate,pitch_rate,yaw_rate,eye_rate,"
"v20250113_wearDn33iot_Rapid,0,11.785000,0,1,2.6553,6.6528,-16.0522,5.8594,0.0547,-0.1184,1.0374,0.0400,0.0100,0,0,-9.163,0,-4.163,0,13.000,7.837,5.000,-0.043,172.687,0,0,0,2.6553,2.6553,0.0000,1.000,0,3.3000,0,0.0144,22.2377,1,1,1,1,-3.634,-12.745,14.850,-0.003,"
"v20250113_wearDn33iot_Rapid,0,11.909000,0,1,2.6996,9.7656,-18.2495,9.7046,0.1631,-0.1522,0.9893,0.0400,0.0100,0,0,-14.479,0,-9.479,0,13.000,-0.163,5.000,-2.521,175.637,0,0,0,2.6996,2.6996,0.0000,1.000,0,3.3000,0,-0.0374,11.2981,1,1,1,1,-6.814,-22.217,13.818,0.266,"
"v20250113_wearDn33iot_Rapid,0,12.009000,0,1,2.6811,6.1646,-4.3335,8.9722,0.2318,-0.1779,0.9359,0.0400,0.0100,0,0,-13.100,0,-8.100,0,13.000,-0.794,5.000,-3.900,177.013,0,0,0,2.6811,2.6811,0.0000,1.000,0,3.3000,0,-0.0881,1.5211,0,1,0,1,-10.135,-24.678,14.113,0.028,"
"v20250113_wearDn33iot_Rapid,0,12.084000,0,1,2.6819,6.1646,-4.3335,8.9722,0.2318,-0.1779,0.9359,0.0400,0.0100,0,0,-13.100,0,-8.100,0,13.000,-0.794,5.000,-3.900,177.013,0,0,0,2.6819,2.6819,0.0000,1.000,0,3.3000,0,-0.0881,1.5211,0,1,0,1,-10.135,-24.678,14.113,-0.025,"
"v20250113_wearDn33iot_Rapid,0,12.191000,0,1,2.6932,-2.3193,0.6104,-0.2441,0.2219,-0.1738,0.9611,0.0400,0.0100,0,0,-11.960,0,-6.960,0,13.000,-0.264,5.000,-5.040,177.179,0,0,0,2.6932,2.6932,0.0000,1.000,0,3.3000,0,-0.1012,-17.0513,0,1,0,1,-10.901,-14.733,11.216,0.024,"
"v20250113_wearDn33iot_Rapid,0,12.291000,0,1,2.7021,-2.4414,2.3804,-5.7373,0.2106,-0.1367,0.9783,0.0400,0.0100,0,0,-12.756,0,-7.756,0,13.000,0.442,5.000,-4.244,176.350,0,0,0,2.7021,2.7021,0.0000,1.000,0,3.3000,0,-0.0798,-25.6249,0,1,0,1,-6.836,-6.313,5.206,-0.030,"
"v20250113_wearDn33iot_Rapid,0,12.391000,1,1,2.6932,4.2725,4.5776,-14.3433,0.2010,-0.1121,1.0023,0.0400,0.0100,0,0,-14.821,0,-9.821,0,13.000,1.298,5.000,-2.179,174.552,0,0,0,2.6932,2.6932,0.0000,1.000,0,3.3000,0,-0.0376,-17.2026,0,1,1,1,1.690,-0.731,-2.168,-0.023,"
"v20250113_wearDn33iot_Rapid,0,12.491000,1,1,2.6916,4.5166,9.9487,-20.8740,0.1631,-0.1967,0.9563,0.0400,0.0100,0,0,-13.311,0,-8.311,0,13.000,3.082,5.000,-3.689,172.775,0,0,0,2.6916,2.6916,0.0000,1.000,0,3.3000,0,-0.0315,-0.4559,0,1,1,1,1.535,4.901,-8.345,0.007,"
"v20250113_wearDn33iot_Rapid,0,12.591000,1,1,2.5457,7.6294,8.7280,-17.2729,0.1396,-0.1945,0.9806,0.0400,0.0100,0,0,-12.334,0,-7.334,0,13.000,4.666,5.000,-4.079,171.159,0,0,0,2.5457,2.5457,0.0000,1.000,0,3.3000,0,-0.0317,10.6496,0,1,1,1,-2.626,9.566,-11.711,-0.847,"
"v20250113_wearDn33iot_Rapid,0,12.691000,1,1,2.7053,2.7466,4.1504,-2.3193,0.0320,-0.2443,0.9998,0.0400,0.0100,0,0,-8.631,0,-3.631,0,13.000,8.369,5.000,-6.326,171.169,0,0,0,2.7053,2.7053,0.0000,1.000,0,3.3000,0,-0.0040,2.0130,0,1,1,1,-7.083,16.549,-9.998,0.538,"
