Serial ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED starting at pin 13... done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buzzer starting at pin 17... done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR starting at pin 20... done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor starting at pin 21... done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR starting at pin 20... done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyroscope sample rate = 104.00 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyroscope in degrees/second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerometer sample rate = 104.00 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acceleration in g's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyroscope in degrees/second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acc_x_ = -0.14,ay_ = -0.03,az_ = 0.99,roll_init = -1.49,pitch_init = 8.27,yaw_init = 180.00,q0_init = 0.99731,q1_init = -0.01301,q2_init = 0.07212,q3_init = 0.00094,,,,,,,,,,,,,,,,,,,,,,,,,,
key_Rapid,reset,cTime,head_reset,eye_reset,eye_voltage_norm,a_raw,b_raw,c_raw,x_raw,y_raw,z_raw,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_f_confirmed,max_nod_p,max_nod_p_confirmed,delta_pitch,pitch_filt,delta_roll,roll_filt,head_buzz_f,head_buzz_p,eye_buzz,lt_state,st_state,dltst,cf,freeze,v3v3,head_buzz,g_quiet,o_quiet
v20250113_wearDn33iot_Rapid,1,3.001,1,1,2.4007,0.0192,0.0405,0.0021,-0.1427,-0.0259,0.9816,0.04,0.01,0,0,4.274,0,9.274,0,13,21.274,5,3.499,0,0,0,2.4007,2.4007,0,1,0,3.3,0,0,0
v20250113_wearDn33iot_Rapid,0,3.086,1,1,2.47,0.0192,0.0405,0.0021,-0.1427,-0.0259,0.9816,0.04,0.01,0,0,4.274,0,9.274,0,13,21.274,5,3.499,0,0,0,2.47,2.47,0,1,0,3.3,0,0,0
grav tone played,reset,cTime,head_reset,eye_reset,eye_voltage_norm,a_raw,b_raw,c_raw,x_raw,y_raw,z_raw,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_f_confirmed,max_nod_p,max_nod_p_confirmed,delta_pitch,pitch_filt,delta_roll,roll_filt,head_buzz_f,head_buzz_p,eye_buzz,lt_state,st_state,dltst,cf,freeze,v3v3,head_buzz,g_quiet,o_quiet
v20250113_wearDn33iot_Rapid,0,3.19,0,1,2.6287,0.1278,0.2525,0.0639,-0.1665,-0.0216,1.0232,0.04,0.01,0,0,4.845,1,9.845,1,13,21.845,5,3.678,1,1,0,2.6287,2.6287,0,1,0,3.3,1,0.2376,1.3053
v20250113_wearDn33iot_Rapid,0,3.29,0,1,2.6295,0.0096,0.0341,0.0213,-0.2225,-0.0209,1.0096,0.04,0.01,0,0,6.685,1,11.685,1,13,23.685,5,3.752,1,1,0,2.6295,2.6295,0,1,0,3.3,1,0.41,1.0095
v20250113_wearDn33iot_Rapid,0,3.39,0,1,2.6432,-0.0234,-0.066,-0.0746,-0.1941,-0.0017,0.9778,0.04,0.01,0,0,7.001,1,12.001,1,13,24.001,5,4.338,1,1,0,2.6432,2.6432,0,1,0,3.3,1,0.1785,0.1723
v20250113_wearDn33iot_Rapid,0,3.491,0,1,2.6319,-0.0373,-0.066,-0.0085,-0.1655,-0.0297,0.9874,0.04,0.01,0,0,6.288,1,11.288,1,13,23.288,5,3.809,1,1,0,2.6319,2.6319,0,1,0,3.3,1,-0.0079,0.0959
v20250113_wearDn33iot_Rapid,0,3.591,0,1,2.5232,-0.0554,-0.0767,0.032,-0.194,-0.0214,0.9757,0.04,0.01,0,0,6.803,1,11.803,1,13,23.803,5,3.777,1,1,0,2.5232,2.5232,0,1,0,3.3,1,-0.0847,-0.0555
v20250113_wearDn33iot_Rapid,0,3.691,0,1,2.4071,-0.0415,-0.1214,-0.0064,-0.1836,-0.0198,1.0052,0.04,0.01,0,0,6.605,1,11.605,1,13,23.605,5,3.827,1,1,0,2.4071,2.4071,0,1,0,3.3,1,0.0175,0.2387
v20250113_wearDn33iot_Rapid,0,3.791,0,1,2.4015,0.0075,-0.0895,0.0341,-0.1229,-0.0518,0.948,0.04,0.01,0,0,4.995,1,9.995,1,13,21.995,5,2.835,1,1,0,2.4015,2.4015,0,1,0,3.3,1,-0.2065,0.1065
v20250113_wearDn33iot_Rapid,0,3.891,0,1,2.4144,-0.0373,-0.0565,-0.0256,-0.1255,-0.028,0.9806,0.04,0.01,0,0,4.129,1,9.129,1,13,21.129,5,3.089,1,1,0,2.4144,2.4144,0,1,0,3.3,1,-0.3057,-0.1098
v20250113_wearDn33iot_Rapid,0,3.991,0,1,2.3974,-0.0543,-0.0874,-0.0075,-0.1123,-0.0159,1.0251,0.04,0.01,0,0,3.156,1,8.156,1,13,20.156,5,3.598,1,1,0,2.3974,2.3974,0,1,0,3.3,1,0.0737,-0.1331
v20250113_wearDn33iot_Rapid,0,4.091,0,1,2.4023,-0.0586,-0.0714,0.0426,-0.1267,-0.0273,1.0128,0.04,0.01,0,0,3.109,1,8.109,1,13,20.109,5,3.521,1,1,0,2.4023,2.4023,0,1,0,3.3,1,0.233,0.0303
v20250113_wearDn33iot_Rapid,0,4.191,0,1,2.3958,-0.081,-0.0682,0.0383,-0.1465,-0.0453,1.0059,0.04,0.01,0,0,3.672,1,8.672,1,13,20.672,5,2.954,1,1,0,2.3958,2.3958,0,1,0,3.3,1,0.2096,0.0681
v20250113_wearDn33iot_Rapid,0,4.291,0,1,2.4071,-0.1097,-0.1886,0.0277,-0.156,-0.0408,0.9861,0.04,0.01,0,0,4.307,1,9.307,1,13,21.307,5,2.769,1,1,0,2.4071,2.4071,0,1,0,3.3,1,0.0562,0.7286
v20250113_wearDn33iot_Rapid,0,4.391,0,1,2.4224,-0.18,-0.3281,0.0043,-0.1127,-0.0601,0.9988,0.04,0.01,0,0,3.313,1,8.313,1,13,20.313,5,2.119,1,1,0,2.4224,2.4224,0,1,0,3.3,1,-0.0112,1.9592
