time_s,eye_voltage,eye_voltage_thr,eye_cl,conf,max_nod_f,max_nod_p,buzz,
24.201000,2.8334,0.000,0,0,-15.365,-10.365,0,
24.292000,2.8374,0.000,0,0,-15.379,-10.379,0,
24.393000,2.8479,0.000,0,0,-15.387,-10.387,0,
24.493999,2.8342,0.000,0,0,-15.361,-10.361,0,
24.594000,2.8294,0.000,0,0,-15.394,-10.394,0,
24.695000,2.8197,0.000,0,0,-15.381,-10.381,0,
24.795000,2.8358,0.000,0,0,-15.411,-10.411,0,
24.895000,2.8278,0.000,0,0,-15.395,-10.395,0,
24.995001,2.8382,0.000,0,0,-15.410,-10.410,0,
25.096001,2.8350,0.000,0,0,-15.358,-10.358,0,
25.195999,2.8366,0.000,0,0,-15.421,-10.421,0,
25.296000,2.8463,0.000,0,0,-15.394,-10.394,0,
25.396000,2.8511,0.000,0,0,-15.378,-10.378,0,
25.497000,2.8640,0.000,0,0,-15.355,-10.355,0,
25.597000,2.8576,0.000,0,0,-15.401,-10.401,0,
25.698000,2.8608,0.000,0,0,-15.392,-10.392,0,
25.798000,2.8544,0.000,0,0,-15.362,-10.362,0,
25.898001,2.8390,0.000,0,0,-15.363,-10.363,0,
25.997999,2.8544,0.000,0,0,-15.396,-10.396,0,
26.098000,2.8544,0.000,0,0,-15.395,-10.395,0,
26.198000,2.8616,0.000,0,0,-15.382,-10.382,0,
26.298000,2.8519,0.000,0,0,-15.383,-10.383,0,
26.398001,2.8511,0.000,0,0,-15.393,-10.393,0,
26.499001,2.8584,0.000,0,0,-15.401,-10.401,0,
26.600000,2.8463,0.000,0,0,-15.389,-10.389,0,
26.701000,2.8560,0.000,0,0,-15.371,-10.371,0,
26.801001,2.8818,0.000,0,0,-15.377,-10.377,0,
26.900999,2.8447,0.000,0,0,-15.412,-10.412,0,
27.000999,2.8415,0.000,0,0,-15.392,-10.392,0,
27.101000,2.8326,0.000,0,0,-15.368,-10.368,0,
27.202000,2.8342,0.000,0,0,-15.395,-10.395,0,
27.302000,2.8689,0.000,0,0,-15.383,-10.383,0,
27.402000,2.8141,0.000,0,0,-15.386,-10.386,0,
27.502001,2.7907,0.000,0,0,-15.387,-10.387,0,
27.601999,2.7182,0.000,0,0,-15.386,-10.386,0,
27.702999,2.5836,0.000,0,0,-15.383,-10.383,0,
27.802999,2.4442,0.000,0,0,-15.401,-10.401,0,
27.903000,2.3160,0.000,0,0,-15.394,-10.394,0,
28.003000,2.2218,0.000,0,0,-15.397,-10.397,0,
28.103001,2.1251,0.000,0,0,-15.412,-10.412,0,
28.202999,2.0880,0.000,0,0,-15.398,-10.398,0,
28.302999,2.0340,0.000,0,0,-15.393,-10.393,0,
28.403999,1.9985,0.000,0,0,-15.515,-10.515,0,
28.504999,2.1251,0.000,0,0,-16.072,-11.072,0,
28.606001,2.0993,0.000,0,0,-15.144,-10.144,0,
28.705999,2.1307,0.000,0,0,-15.335,-10.335,0,
28.806000,2.3402,0.000,0,0,-15.355,-10.355,0,
28.906000,2.2943,0.000,0,0,-15.184,-10.184,0,
29.006001,2.4063,0.000,0,0,-15.468,-10.468,0,
29.107000,2.4353,0.000,0,0,-15.597,-10.597,0,
29.208000,2.4232,0.000,0,0,-15.447,-10.447,0,
29.309000,2.4635,0.000,0,0,-15.606,-10.606,0,
29.409000,2.4724,0.000,0,0,-15.419,-10.419,0,
29.509001,2.4788,0.000,0,0,-15.358,-10.358,0,
29.608999,2.4804,0.000,0,0,-15.432,-10.432,0,
29.709000,2.5175,0.000,0,0,-15.362,-10.362,0,
29.809000,2.5755,0.000,0,0,-15.168,-10.168,0,
29.909000,2.5360,0.000,0,0,-15.282,-10.282,0,
30.009001,2.5562,0.000,0,0,-15.235,-10.235,0,
30.110001,2.5538,0.000,0,0,-15.427,-10.427,0,
30.211000,2.5812,0.000,0,0,-15.255,-10.255,0,
30.311001,2.5675,0.000,0,0,-15.459,-10.459,0,
30.412001,2.5449,0.000,0,0,-15.182,-10.182,0,
30.511999,2.5820,0.000,0,0,-15.295,-10.295,0,
